test_index,condition,question,status,duration_seconds,total_tokens
1,with_a2ui,Book me a hotel in Bangkok. Ask for my travel dates before searching.,timeout,188.5,0
2,with_a2ui,Find me flights to Shanghai and sort them by the shortest travel time.,ok,27.8,38730
3,with_a2ui,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",ok,90.8,199426
4,with_a2ui,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,ok,75.1,79490
5,with_a2ui,Help me plan a food tour in Penang. Ask me what cuisines I like first.,ok,27.6,39925
6,with_a2ui,Find attractions in Kyoto and organize them into a 3-day itinerary.,ok,42.8,126041
7,with_a2ui,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",ok,18.8,38367
8,with_a2ui,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",ok,27.1,39647
9,with_a2ui,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,ok,16.7,37744
10,with_a2ui,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",ok,27.3,39822
11,with_a2ui,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,ok,18.9,53148
12,with_a2ui,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,timeout,188.7,81486
13,with_a2ui,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,ok,8.3,37778
14,with_a2ui,"I'm planning a family vacation with young children. Ask enough questions before recommending destinations, hotels, and activities.",ok,30.6,59743
15,with_a2ui,"Help me organize a business trip to Shanghai. Book a flight, recommend hotels near the exhibition center, and suggest nearby restaurants.",ok,21.0,76176
16,with_a2ui,"I have SGD 3,000 for a vacation. Recommend the best destination based on weather, flight prices, and attractions during my travel dates.",ok,18.9,38224
17,with_a2ui,"Plan my honeymoon in Italy. Ask about our budget, travel dates, interests, preferred hotel type, and flight preferences before creating a complete itinerary.",ok,28.6,39829
18,with_a2ui,I'm buying a DSLR camera. Interview me like a salesperson before recommending the best camera and lenses.,error,30.0,0
19,with_a2ui,"Help me move to a new apartment. Create a checklist, recommend moving companies, estimate costs, and suggest a timeline.",ok,22.5,38205
20,with_a2ui,"I'm organizing a company offsite for 30 people. Find suitable venues, nearby hotels, transportation options, and restaurants, then compare them.",ok,21.2,38137
21,with_a2ui,"Plan a weekend trip where the total budget (hotel, transport, food, and attractions) stays under SGD 500.",ok,30.7,76633
22,with_a2ui,"Search for electric vehicles available in Singapore and compare purchase price, government rebates, range, charging time, and maintenance costs.",timeout,188.0,76382
23,with_a2ui,Find three travel insurance plans for my trip to Japan and explain which one is best for my needs after asking about my travel duration and activities.,ok,43.8,77219
24,with_a2ui,"Help me buy a bicycle. Ask about my height, riding style, terrain, and budget before recommending suitable models.",ok,39.6,78051
25,with_a2ui,"Build me a complete PC for AI development with a SGD 3,000 budget. Compare components, compatibility, and performance.",ok,50.0,276276
26,with_a2ui,"Help me plan a ski trip. Ask about my skiing experience, preferred country, budget, and travel dates before recommending resorts, hotels, equipment rental, and flights.",ok,32.0,170205
27,with_a2ui,"Find the cheapest MacBook Air on Apple's website, then compare it with offers from authorized retailers.",ok,38.7,353853
28,with_a2ui,"Search for Taylor Swift concert tickets. If multiple ticket websites are available, compare prices and seat availability.",ok,8.2,37804
29,with_a2ui,I want to apply for a tourist visa to Japan. Guide me through the application process and ask for any required information before proceeding.,error,30.0,0
30,with_a2ui,"Help me register for a marathon. Search for upcoming races near Singapore, compare registration fees, and guide me through the registration process.",ok,154.5,689323
1,without_a2ui,Book me a hotel in Bangkok. Ask for my travel dates before searching.,ok,24.2,28602
2,without_a2ui,Find me flights to Shanghai and sort them by the shortest travel time.,ok,17.8,28333
3,without_a2ui,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",timeout,188.5,86162
4,without_a2ui,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,ok,130.3,87636
5,without_a2ui,Help me plan a food tour in Penang. Ask me what cuisines I like first.,ok,15.6,28143
6,without_a2ui,Find attractions in Kyoto and organize them into a 3-day itinerary.,ok,8.2,0
7,without_a2ui,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",ok,24.4,28101
8,without_a2ui,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",ok,44.1,28649
9,without_a2ui,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,ok,21.3,28162
10,without_a2ui,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",ok,19.1,28272
11,without_a2ui,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,ok,15.6,28135
12,without_a2ui,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,ok,92.3,155652
13,without_a2ui,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,ok,12.6,93254
14,without_a2ui,"I'm planning a family vacation with young children. Ask enough questions before recommending destinations, hotels, and activities.",ok,21.1,87509
15,without_a2ui,"Help me organize a business trip to Shanghai. Book a flight, recommend hotels near the exhibition center, and suggest nearby restaurants.",ok,21.3,28485
16,without_a2ui,"I have SGD 3,000 for a vacation. Recommend the best destination based on weather, flight prices, and attractions during my travel dates.",timeout,188.7,0
17,without_a2ui,"Plan my honeymoon in Italy. Ask about our budget, travel dates, interests, preferred hotel type, and flight preferences before creating a complete itinerary.",ok,21.8,28392
18,without_a2ui,I'm buying a DSLR camera. Interview me like a salesperson before recommending the best camera and lenses.,ok,19.0,28377
19,without_a2ui,"Help me move to a new apartment. Create a checklist, recommend moving companies, estimate costs, and suggest a timeline.",ok,22.1,57217
20,without_a2ui,"I'm organizing a company offsite for 30 people. Find suitable venues, nearby hotels, transportation options, and restaurants, then compare them.",ok,20.9,28717
21,without_a2ui,"Plan a weekend trip where the total budget (hotel, transport, food, and attractions) stays under SGD 500.",ok,17.8,28238
22,without_a2ui,"Search for electric vehicles available in Singapore and compare purchase price, government rebates, range, charging time, and maintenance costs.",ok,175.1,179711
23,without_a2ui,Find three travel insurance plans for my trip to Japan and explain which one is best for my needs after asking about my travel duration and activities.,ok,20.5,28240
24,without_a2ui,"Help me buy a bicycle. Ask about my height, riding style, terrain, and budget before recommending suitable models.",error,0.0,0
25,without_a2ui,"Build me a complete PC for AI development with a SGD 3,000 budget. Compare components, compatibility, and performance.",timeout,189.1,58000
26,without_a2ui,"Help me plan a ski trip. Ask about my skiing experience, preferred country, budget, and travel dates before recommending resorts, hotels, equipment rental, and flights.",ok,32.9,28538
27,without_a2ui,"Find the cheapest MacBook Air on Apple's website, then compare it with offers from authorized retailers.",ok,180.5,295333
28,without_a2ui,"Search for Taylor Swift concert tickets. If multiple ticket websites are available, compare prices and seat availability.",ok,178.0,177675
29,without_a2ui,I want to apply for a tourist visa to Japan. Guide me through the application process and ask for any required information before proceeding.,ok,16.8,28340
30,without_a2ui,"Help me register for a marathon. Search for upcoming races near Singapore, compare registration fees, and guide me through the registration process.",ok,88.3,547740
