test_index,condition,question,status,duration_seconds,total_tokens
1,with_a2ui,Book me a hotel in Bangkok. Ask for my travel dates before searching.,ok,24.4,39162
2,with_a2ui,Find me flights to Shanghai and sort them by the shortest travel time.,ok,22.4,39191
3,with_a2ui,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",timeout,188.3,116043
4,with_a2ui,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,ok,22.5,79869
5,with_a2ui,Help me plan a food tour in Penang. Ask me what cuisines I like first.,ok,31.7,39899
6,with_a2ui,Find attractions in Kyoto and organize them into a 3-day itinerary.,ok,87.4,226917
7,with_a2ui,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",ok,41.1,38727
8,with_a2ui,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",ok,127.5,39728
9,with_a2ui,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,ok,35.7,37713
10,with_a2ui,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",ok,97.1,39259
11,with_a2ui,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,ok,26.5,37770
12,with_a2ui,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,ok,133.1,163635
13,with_a2ui,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,timeout,188.6,0
14,with_a2ui,"I'm planning a family vacation with young children. Ask enough questions before recommending destinations, hotels, and activities.",ok,31.5,40677
15,with_a2ui,"Help me organize a business trip to Shanghai. Book a flight, recommend hotels near the exhibition center, and suggest nearby restaurants.",ok,40.9,117855
16,with_a2ui,"I have SGD 3,000 for a vacation. Recommend the best destination based on weather, flight prices, and attractions during my travel dates.",ok,17.6,54849
17,with_a2ui,"Plan my honeymoon in Italy. Ask about our budget, travel dates, interests, preferred hotel type, and flight preferences before creating a complete itinerary.",ok,17.4,38243
18,with_a2ui,I'm buying a DSLR camera. Interview me like a salesperson before recommending the best camera and lenses.,ok,19.6,52414
19,with_a2ui,"Help me move to a new apartment. Create a checklist, recommend moving companies, estimate costs, and suggest a timeline.",timeout,188.6,76214
20,with_a2ui,"I'm organizing a company offsite for 30 people. Find suitable venues, nearby hotels, transportation options, and restaurants, then compare them.",ok,23.4,38166
21,with_a2ui,"Plan a weekend trip where the total budget (hotel, transport, food, and attractions) stays under SGD 500.",ok,29.6,76056
22,with_a2ui,"Search for electric vehicles available in Singapore and compare purchase price, government rebates, range, charging time, and maintenance costs.",ok,73.4,204730
23,with_a2ui,Find three travel insurance plans for my trip to Japan and explain which one is best for my needs after asking about my travel duration and activities.,ok,23.5,87607
24,with_a2ui,"Help me buy a bicycle. Ask about my height, riding style, terrain, and budget before recommending suitable models.",ok,29.7,39650
25,with_a2ui,"Build me a complete PC for AI development with a SGD 3,000 budget. Compare components, compatibility, and performance.",error,3653.7,0
26,with_a2ui,"Help me plan a ski trip. Ask about my skiing experience, preferred country, budget, and travel dates before recommending resorts, hotels, equipment rental, and flights.",timeout,188.8,0
27,with_a2ui,"Find the cheapest MacBook Air on Apple's website, then compare it with offers from authorized retailers.",timeout,188.4,164373
28,with_a2ui,"Search for Taylor Swift concert tickets. If multiple ticket websites are available, compare prices and seat availability.",timeout,188.6,464870
29,with_a2ui,I want to apply for a tourist visa to Japan. Guide me through the application process and ask for any required information before proceeding.,ok,71.8,157238
30,with_a2ui,"Help me register for a marathon. Search for upcoming races near Singapore, compare registration fees, and guide me through the registration process.",ok,36.8,222306
1,without_a2ui,Book me a hotel in Bangkok. Ask for my travel dates before searching.,error,0.0,0
2,without_a2ui,Find me flights to Shanghai and sort them by the shortest travel time.,error,0.0,0
3,without_a2ui,"Recommend three hotels in Singapore and compare their prices, ratings, and locations.",error,0.0,0
4,without_a2ui,I want to buy a gaming laptop. Show me several options and explain the pros and cons of each.,error,0.0,0
5,without_a2ui,Help me plan a food tour in Penang. Ask me what cuisines I like first.,error,0.0,0
6,without_a2ui,Find attractions in Kyoto and organize them into a 3-day itinerary.,error,0.0,0
7,without_a2ui,"I need a hotel with free breakfast, a swimming pool, and Wi-Fi. Don't recommend anything until you ask my budget.",error,0.0,0
8,without_a2ui,"I want to plan a vacation, but I'm not sure where to go. Ask me a few questions before making recommendations.",error,0.0,0
9,without_a2ui,Recommend a smartphone for me. Don't suggest anything until you've asked about my budget and what I use it for.,error,0.0,0
10,without_a2ui,"Help me choose a university in Australia. Ask about my preferred course, budget, and career goals before recommending one.",error,0.0,0
11,without_a2ui,Recommend five restaurants in Seoul based on my preferences. Ask what cuisine I enjoy before searching.,error,0.0,0
12,without_a2ui,Help me organize a café-hopping trip in Singapore. Suggest the most efficient route between cafés.,error,0.0,0
13,without_a2ui,Find restaurants near Marina Bay Sands that have at least a 4.5-star rating and cost less than SGD 50 per person.,error,0.0,0
14,without_a2ui,"I'm planning a family vacation with young children. Ask enough questions before recommending destinations, hotels, and activities.",error,0.0,0
15,without_a2ui,"Help me organize a business trip to Shanghai. Book a flight, recommend hotels near the exhibition center, and suggest nearby restaurants.",error,0.0,0
16,without_a2ui,"I have SGD 3,000 for a vacation. Recommend the best destination based on weather, flight prices, and attractions during my travel dates.",error,0.0,0
17,without_a2ui,"Plan my honeymoon in Italy. Ask about our budget, travel dates, interests, preferred hotel type, and flight preferences before creating a complete itinerary.",error,0.0,0
18,without_a2ui,I'm buying a DSLR camera. Interview me like a salesperson before recommending the best camera and lenses.,error,0.0,0
19,without_a2ui,"Help me move to a new apartment. Create a checklist, recommend moving companies, estimate costs, and suggest a timeline.",error,0.0,0
20,without_a2ui,"I'm organizing a company offsite for 30 people. Find suitable venues, nearby hotels, transportation options, and restaurants, then compare them.",error,0.0,0
21,without_a2ui,"Plan a weekend trip where the total budget (hotel, transport, food, and attractions) stays under SGD 500.",error,0.0,0
22,without_a2ui,"Search for electric vehicles available in Singapore and compare purchase price, government rebates, range, charging time, and maintenance costs.",error,0.0,0
23,without_a2ui,Find three travel insurance plans for my trip to Japan and explain which one is best for my needs after asking about my travel duration and activities.,error,0.0,0
24,without_a2ui,"Help me buy a bicycle. Ask about my height, riding style, terrain, and budget before recommending suitable models.",error,0.0,0
25,without_a2ui,"Build me a complete PC for AI development with a SGD 3,000 budget. Compare components, compatibility, and performance.",error,0.0,0
26,without_a2ui,"Help me plan a ski trip. Ask about my skiing experience, preferred country, budget, and travel dates before recommending resorts, hotels, equipment rental, and flights.",error,0.0,0
27,without_a2ui,"Find the cheapest MacBook Air on Apple's website, then compare it with offers from authorized retailers.",error,0.0,0
28,without_a2ui,"Search for Taylor Swift concert tickets. If multiple ticket websites are available, compare prices and seat availability.",error,0.0,0
29,without_a2ui,I want to apply for a tourist visa to Japan. Guide me through the application process and ask for any required information before proceeding.,error,0.0,0
30,without_a2ui,"Help me register for a marathon. Search for upcoming races near Singapore, compare registration fees, and guide me through the registration process.",error,0.0,0
